Duration,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,,`,,,,,,,,#REF!,,,,,,,,#REF!,,,,,,,
ASIN,Product's,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  ,Impressions  ,Clicks   ,CTR   ,Spend  ,CPC   ,Orders,Sales,Acos  
B0CTHWVRJY,Finger paint,"155,498","1,287",0.83%,"15,412.75",11.98,128,"68,464.42",22.51%,"164,338","1,379",0.84%,"16,599.72",12.04,176,"88,328.10",18.79%,"167,417","1,377",0.82%,"16,619.51",12.07,172,"95,497.52",17.40%,"182,361","1,457",0.80%,"15,748.39",10.81,148,"76,262.36",20.65%,"134,401","1,351",1.01%,"16,289.75",12.06,170,"85,779.51",18.99%,"145,372","1,592",1.10%,"17,502.13",10.99,180,"89,454.74",19.57%,"180,768","1,882",1.04%,"22,927.20",12.18,217,"102,950.89",22.27%,"184,703","1,769",0.96%,"21,396.79",12.10,196,"98,465.83",21.73%,"184,180","1,751",0.95%,"20,590.54",11.76,168,"90,150.05",22.84%,"170,866","1,797",1.05%,"22,489.24",12.51,188,"94,670.08",23.76%,"166,712","1,679",1.01%,"20,842.05",12.41,179,"96,139.03",21.68%,"191,823","1,881",0.98%,"23,709.35",12.60,185,"86,385.19",27.45%,"249,691","2,111",0.85%,"26,964.94",12.77,205,"98,292.32",27.43%,"229,051","1,896",0.83%,"22,418.87",11.82,174,"92,914.62",24.13%,"108,543","1,480",1.36%,"17,893.59",12.09,186,"91,244.12",19.61%,"90,401","1,281",1.42%,"14,937.06",11.66,163,"79,601.35",18.76%,"113,805","1,347",1.18%,"16,596.03",12.32,154,"79,845.09",20.79%,"115,377","1,668",1.45%,"20,197.22",12.11,228,"114,922.35",17.57%,"88,195","1,342",1.52%,"14,867.59",11.08,156,"77,206.18",19.26%,"90,177","1,244",1.38%,"13,836.30",11.12,141,"72,964.93",18.96%,"244,284","1,604",0.66%,"13,697.67",8.54,135,"68,251.04",20.07%,"104,358","1,155",1.11%,"12,664.54",10.96,134,"69,537.33",18.21%,"119,843","1,355",1.13%,"15,836.70",11.69,158,"83,958.04",18.86%,"105,458","1,094",1.04%,"12,911.34",11.80,120,"71,030.82",18.18%,"114,378","1,223",1.07%,"14,253.30",11.65,137,"68,035.69",20.95%,"114,299","1,382",1.21%,"16,672.01",12.06,166,"79,522.21",20.97%,"117,460","1,314",1.12%,"16,844.50",12.82,177,"84,661.72",19.90%,"124,166","1,543",1.24%,"18,582.36",12.04,199,"95,958.02",19.37%,"105,810","1,442",1.36%,"18,250.74",12.66,188,"99,950.39",18.26%,"103,774","1,341",1.29%,"17,092.96",12.75,174,"81,970.30",20.85%,"112,442","1,242",1.10%,"15,019.51",12.09,162,"80,725.41",18.61%,"92,787","1,111",1.20%,"14,402.15",12.96,145,"73,771.37",19.52%,137619,1281,0.93%,"₹16,077.73",0.08,137,"₹77,155.91",20.84%,123098,1310,1.06%,"₹16,605.93",0.08,174,"₹97,948.64",16.95%,125306,1354,1.08%,"₹18,374.11",0.07,170,"₹95,326.90",19.27%,107071,1069,1.00%,"₹13,782.70",0.08,127,"₹63,877.14",21.58%
B0FMFR1ZVN,Playdough,"124,312",807,0.65%,"9,590.12",11.88,48,"30,772.28",31.16%,"89,098",683,0.77%,"7,678.33",11.24,42,"24,774.36",30.99%,"105,051",892,0.85%,"10,320.38",11.57,43,"25,831.07",39.95%,"60,328",667,1.11%,"7,214.71",10.82,36,"22,224.14",32.46%,"58,480",610,1.04%,"6,392.13",10.48,45,"27,490.41",23.25%,"84,595",704,0.83%,"7,365.20",10.46,49,"28,602.72",25.75%,"117,137",917,0.78%,"8,767.94",9.56,51,"29,574.71",29.65%,"102,639","1,054",1.03%,"10,551.64",10.01,58,"37,523.47",28.12%,"136,816","1,066",0.78%,"10,869.18",10.20,49,"33,098.47",32.84%,"125,986","1,040",0.83%,"10,757.09",10.34,56,"35,742.81",30.10%,"141,105","1,263",0.90%,"13,733.44",10.87,54,"34,359.72",39.97%,"160,910","1,698",1.06%,"20,681.10",12.18,90,"50,036.45",41.33%,"154,558","1,657",1.07%,"18,955.63",11.44,78,"51,140.28",37.07%,"153,435","1,507",0.98%,"16,924.65",11.23,85,"52,301.47",32.36%,"26,819",291,1.09%,"3,056.60",10.50,15,"13,116.93",23.30%,"102,323",927,0.91%,"9,596.70",10.35,43,"25,814.89",37.18%,"141,051","1,145",0.81%,"11,924.63",10.41,63,"40,540.45",29.41%,"150,100","1,062",0.71%,"11,490.52",10.82,49,"30,019.13",38.28%,"160,412","1,359",0.85%,"13,629.48",10.03,72,"45,301.66",30.09%,"179,994","1,730",0.96%,"16,990.46",9.82,66,"42,504.13",39.97%,"220,555","1,772",0.80%,"17,221.90",9.72,74,"54,240.84",31.75%,"144,295","1,398",0.97%,"15,973.58",11.43,79,"49,826.38",32.06%,"157,117","1,320",0.84%,"15,266.73",11.57,40,"24,092.69",63.37%,"140,089","1,290",0.92%,"16,504.69",12.79,43,"30,154.27",54.73%,"180,578","1,710",0.95%,"21,435.39",12.54,64,"40,069.00",53.50%,"188,017","1,615",0.86%,"21,543.44",13.34,74,"41,042.36",52.49%,"199,428","1,990",1.00%,"30,196.96",15.17,70,"38,066.33",79.33%,"191,744","2,064",1.08%,"30,613.05",14.83,113,"63,686.33",48.07%,"130,425","1,601",1.23%,"27,281.52",17.04,75,"42,661.75",63.95%,"112,749","1,190",1.06%,"17,646.54",14.83,49,"29,630.38",59.56%,"130,046","1,379",1.06%,"19,368.75",14.05,62,"35,625.37",54.37%,"199,980","1,876",0.94%,"32,128.02",17.13,56,"31,607.02",101.65%,189130,1710,0.90%,"₹28,828.39",0.06,64,"₹45,581.31",63.25%,157442,2001,1.27%,"₹34,808.17",0.06,81,"₹53,176.16",65.46%,79397,1109,1.40%,"₹19,860.85",0.06,62,"₹42,467.67",46.77%,69453,843,1.21%,"₹16,305.31",0.05,36,"₹26,454.72",61.63%
B07T516S4Y,Crayon,"107,855",547,0.51%,"5,932.10",10.84,48,"24,195.30",24.52%,"110,183",482,0.44%,"4,812.83",9.99,30,"15,040.60",32.00%,"134,991",484,0.36%,"3,959.41",8.18,19,"7,341.46",53.93%,"423,332","1,867",0.44%,"5,829.14",3.12,38,"16,400.07",35.54%,"116,976",493,0.42%,"4,823.19",9.78,26,"12,640.12",38.16%,"94,168",453,0.48%,"5,113.63",11.29,44,"21,588.69",23.69%,"72,845",483,0.66%,"5,682.18",11.76,61,"25,845.23",21.99%,"74,817",366,0.49%,"3,399.30",9.29,32,"15,904.77",21.37%,"101,214",575,0.57%,"4,348.63",7.56,24,"11,070.35",39.28%,"98,538",476,0.48%,"4,735.93",9.95,31,"15,330.58",30.89%,"85,343",506,0.59%,"4,861.88",9.61,38,"18,005.01",27.00%,"128,114",733,0.57%,"6,943.48",9.47,57,"25,517.30",27.21%,"182,518",866,0.47%,"7,484.14",8.64,43,"19,976.63",37.46%,"424,773","1,761",0.41%,"8,829.33",5.01,56,"23,836.79",37.04%,"82,459",563,0.68%,"5,793.15",10.29,48,"20,208.46",28.67%,"83,454",582,0.70%,"5,635.33",9.68,61,"25,282.66",22.29%,"85,043",628,0.74%,"7,450.89",11.86,48,"21,932.84",33.97%,"87,113",643,0.74%,"7,695.85",11.97,59,"27,344.71",28.14%,"75,633",595,0.79%,"6,698.64",11.26,69,"28,687.89",23.35%,"75,496",576,0.76%,"6,498.60",11.28,61,"26,356.39",24.66%,"87,048",540,0.62%,"5,849.60",10.83,45,"21,150.71",27.66%,"56,228",496,0.88%,"5,496.95",11.08,52,"24,173.19",22.74%,"84,755",646,0.76%,"7,466.18",11.56,68,"27,066.06",27.59%,"93,450",631,0.68%,"7,382.06",11.70,47,"23,888.96",30.90%,"90,741",664,0.73%,"7,088.66",10.68,72,"33,423.84",21.21%,"90,511",638,0.70%,"6,477.82",10.15,63,"27,157.29",23.85%,"106,426",732,0.69%,"7,671.79",10.48,77,"32,202.17",23.82%,"127,905",806,0.63%,"8,859.04",10.99,89,"36,890.88",24.01%,"98,555",787,0.80%,"8,370.12",10.64,74,"33,802.28",24.76%,"107,447",628,0.58%,"6,920.10",11.02,70,"44,185.27",15.66%,"104,545",654,0.63%,"7,298.25",11.16,58,"26,756.28",27.28%,"97,967",591,0.60%,"6,437.55",10.89,49,"23,563.54",27.32%,102315,583,0.57%,"₹6,146.19",0.09,55,"₹27,566.25",22.30%,88206,607,0.69%,"₹6,490.93",0.09,65,"₹28,898.09",22.46%,79235,509,0.64%,"₹5,685.85",0.09,51,"₹26,351.14",21.58%,56580,398,0.70%,"₹4,447.67",0.09,46,"₹22,422.46",19.84%
B0B1DT53X9,Hand and Foot Print Kit,"36,602",344,0.94%,"2,576.14",7.49,15,"7,976.90",32.30%,"40,741",514,1.26%,"3,923.60",7.63,42,"23,289.14",16.85%,"39,584",476,1.20%,"3,962.74",8.33,25,"14,345.98",27.62%,"40,715",383,0.94%,"3,534.63",9.23,32,"17,064.83",20.71%,"37,153",296,0.80%,"3,003.21",10.15,14,"8,201.55",36.62%,"42,956",287,0.67%,"2,970.11",10.35,11,"6,885.01",43.14%,"39,910",338,0.85%,"3,438.70",10.17,29,"14,349.12",23.96%,"37,957",350,0.92%,"3,259.05",9.31,16,"9,594.07",33.97%,"30,972",246,0.79%,"2,079.45",8.45,13,"7,046.46",29.51%,"29,756",258,0.87%,"2,225.34",8.63,9,"4,852.60",45.86%,"27,920",243,0.87%,"2,180.65",8.97,12,"7,759.19",28.10%,"36,780",265,0.72%,"2,206.18",8.33,7,"3,860.01",57.15%,"33,623",284,0.84%,"2,395.60",8.44,15,"7,624.41",31.42%,"31,666",284,0.90%,"2,716.00",9.56,9,"4,704.06",57.74%,"15,286",159,1.04%,"1,322.75",8.32,14,"8,527.89",15.51%,"13,856",159,1.15%,"1,315.18",8.27,8,"4,155.35",31.65%,"21,312",239,1.12%,"2,574.01",10.77,11,"6,599.65",39.00%,"17,925",272,1.52%,"2,574.90",9.47,20,"11,727.66",21.96%,"20,070",202,1.01%,"1,738.21",8.61,12,"6,508.55",26.71%,"18,464",209,1.13%,"1,615.95",7.73,9,"4,894.28",33.02%,"18,227",203,1.11%,"1,651.63",8.14,7,"3,926.66",42.06%,"8,553",107,1.25%,810.27,7.57,6,"3,060.27",26.48%,"4,990",82,1.64%,540.84,6.60,5,"2,531.94",21.36%,"1,797",32,1.78%,236.66,7.40,0,0.00,0.00%,"3,225",36,1.12%,287.67,7.99,1,618.10,46.54%,"7,302",125,1.71%,907.52,7.26,4,"1,948.62",46.57%,"6,461",103,1.59%,756.28,7.34,8,"4,619.33",16.37%,"1,384",28,2.02%,211.78,7.56,0,0.00,0.00%,"5,754",87,1.51%,666.37,7.66,2,974.30,68.39%,"8,787",138,1.57%,"1,029.12",7.46,6,"3,308.55",31.10%,"6,164",92,1.49%,645.12,7.01,6,"3,180.02",20.29%,"3,647",56,1.54%,464.38,8.29,1,618.10,75.13%,522,2,0.38%,₹5.19,0.39,0,₹0.00,0.00%,7406,78,1.05%,₹465.02,0.17,1,₹618.10,75.23%,11341,129,1.14%,₹960.26,0.13,5,"₹2,941.92",32.64%,12145,94,0.77%,₹679.26,0.14,4,"₹2,274.30",29.87%
B096WD8RC2,Brush Set,"110,571",379,0.34%,"3,526.43",9.30,41,"17,306.28",20.38%,"134,709",418,0.31%,"3,913.43",9.36,45,"19,743.01",19.82%,"142,606",450,0.32%,"4,344.36",9.65,32,"15,625.36",27.80%,"105,877",381,0.36%,"3,947.50",10.36,27,"12,515.55",31.54%,"80,583",330,0.41%,"3,632.34",11.01,18,"7,667.96",47.37%,"90,803",386,0.43%,"3,859.06",10.00,20,"9,140.99",42.22%,"61,025",339,0.56%,"3,645.89",10.75,24,"9,585.24",38.04%,"65,946",353,0.54%,"3,533.40",10.01,26,"11,209.78",31.52%,"67,940",366,0.54%,"3,842.51",10.50,31,"19,185.31",20.03%,"71,831",422,0.59%,"4,102.78",9.72,32,"14,228.28",28.84%,"57,481",419,0.73%,"5,180.38",12.36,25,"11,316.91",45.78%,"57,264",401,0.70%,"4,751.73",11.85,28,"11,449.51",41.50%,"44,836",303,0.68%,"2,901.53",9.58,8,"3,245.32",89.41%,"19,651",210,1.07%,"2,638.87",12.57,13,"5,824.14",45.31%,"13,821",131,0.95%,"1,272.44",9.71,8,"3,594.77",35.40%,"34,766",269,0.77%,"2,733.25",10.16,32,"13,477.80",20.28%,"43,507",232,0.53%,"2,476.51",10.67,15,"6,285.16",39.40%,"52,510",277,0.53%,"3,106.94",11.22,21,"9,813.95",31.66%,"41,875",249,0.59%,"2,652.95",10.65,23,"9,749.59",27.21%,"35,509",221,0.62%,"2,319.78",10.50,16,"5,858.31",39.60%,"51,295",245,0.48%,"2,353.06",9.60,11,"4,510.14",52.17%,"33,534",178,0.53%,"1,696.30",9.53,8,"3,205.26",52.92%,"32,442",186,0.57%,"1,551.18",8.34,10,"5,067.85",30.61%,"33,647",141,0.42%,"1,271.65",9.02,10,"4,181.99",30.41%,"35,594",165,0.46%,"1,243.89",7.54,4,"1,502.52",82.79%,"41,090",210,0.51%,"1,900.92",9.05,25,"10,522.35",18.07%,"52,900",229,0.43%,"2,089.62",9.12,8,"4,121.28",50.70%,"66,921",281,0.42%,"2,637.60",9.39,11,"4,727.08",55.80%,"50,877",218,0.43%,"2,236.59",10.26,5,"2,641.34",84.68%,"40,345",192,0.48%,"2,121.29",11.05,19,"11,314.97",18.75%,"37,539",141,0.38%,"1,352.84",9.59,9,"4,712.60",28.71%,"34,072",130,0.38%,"1,077.36",8.29,16,"8,702.03",12.38%,29266,121,0.41%,"₹1,307.90",0.09,22,"₹12,605.75",10.38%,36425,161,0.44%,"₹1,941.52",0.08,19,"₹10,558.02",18.39%,39411,154,0.39%,"₹1,907.51",0.08,22,"₹11,762.63",16.22%,27103,160,0.59%,"₹1,621.14",0.10,14,"₹7,524.07",21.55%
B0FKZ8TMHC,Magic Paint Dust ,"13,933",195,1.40%,"1,899.02",9.74,11,"6,399.17",29.68%,"30,749",316,1.03%,"3,519.23",11.14,19,"11,839.80",29.72%,"28,451",325,1.14%,"3,467.91",10.67,23,"13,098.31",26.48%,"18,419",325,1.76%,"3,374.89",10.38,31,"20,168.43",16.73%,"22,145",361,1.63%,"3,743.36",10.37,18,"13,903.62",26.92%,"25,546",487,1.91%,"4,695.10",9.64,30,"18,678.91",25.14%,"38,660",470,1.22%,"5,319.03",11.32,26,"15,024.13",35.40%,"47,636",478,1.00%,"5,511.37",11.53,25,"15,395.31",35.80%,"31,827",430,1.35%,"4,266.18",9.92,25,"15,329.91",27.83%,"28,676",468,1.63%,"4,481.38",9.58,18,"12,052.93",37.18%,"34,526",460,1.33%,"4,487.11",9.75,21,"12,295.63",36.49%,"45,641",534,1.17%,"5,179.43",9.70,21,"10,257.33",50.49%,"50,314",580,1.15%,"5,290.33",9.12,18,"10,414.77",50.80%,"100,577","1,006",1.00%,"7,112.34",7.07,21,"11,785.66",60.35%,"86,633",831,0.96%,"5,078.82",6.11,15,"8,772.13",57.90%,"76,088",694,0.91%,"4,106.06",5.92,21,"11,448.68",35.86%,"61,655",627,1.02%,"5,412.99",8.63,19,"12,632.29",42.85%,"68,519",949,1.39%,"12,598.71",13.28,48,"30,744.09",40.98%,"82,641",885,1.07%,"6,446.01",7.28,48,"29,375.05",21.94%,"76,167",838,1.10%,"5,920.12",7.06,28,"16,128.70",36.71%,"35,854",518,1.44%,"4,277.79",8.26,30,"16,918.83",25.28%,"7,948",126,1.59%,"1,320.68",10.48,6,"3,044.91",43.37%,"9,917",193,1.95%,"2,152.91",11.15,13,"7,104.20",30.30%,"9,397",143,1.52%,"1,391.96",9.73,10,"5,311.15",26.21%,"13,342",240,1.80%,"2,760.19",11.50,12,"7,327.42",37.67%,"14,666",240,1.64%,"2,851.74",11.88,8,"4,181.53",68.20%,"11,143",174,1.56%,"2,283.24",13.12,6,"2,789.84",81.84%,"21,005",253,1.20%,"3,328.31",13.16,19,"10,754.86",30.95%,"23,759",314,1.32%,"3,869.54",12.32,10,"5,031.34",76.91%,"14,367",179,1.25%,"2,447.89",13.68,4,"3,069.31",79.75%,"10,914",124,1.14%,"1,893.11",15.27,10,"7,419.30",25.52%,"8,501",73,0.86%,867.36,11.88,0,0.00,0.00%,9819,89,0.91%,"₹1,138.63",0.08,10,"₹6,075.07",18.74%,10287,116,1.13%,"₹1,407.58",0.08,6,"₹3,858.97",36.48%,12248,164,1.34%,"₹2,492.00",0.07,8,"₹4,851.60",51.36%,6237,61,0.98%,₹682.46,0.09,3,"₹1,363.84",50.04%
B09WMGR9M8,Colouring Page,"37,156",290,0.78%,"2,595.07",8.95,28,"13,103.03",19.81%,"49,176",362,0.74%,"3,187.36",8.80,25,"12,857.92",24.79%,"54,454",341,0.63%,"3,067.24",8.99,18,"8,761.12",35.01%,"60,221",383,0.64%,"3,637.78",9.50,18,"8,470.81",42.94%,"50,575",293,0.58%,"3,008.30",10.27,14,"7,280.94",41.32%,"71,158",496,0.70%,"4,897.99",9.87,43,"20,082.82",24.39%,"61,631",435,0.71%,"4,298.11",9.88,34,"15,398.40",27.91%,"115,586",670,0.58%,"4,457.57",6.65,40,"18,598.95",23.97%,"122,045",858,0.70%,"4,544.10",5.30,43,"19,012.16",23.90%,"44,813",485,1.08%,"4,328.70",8.93,37,"17,715.20",24.43%,"32,629",456,1.40%,"4,593.81",10.07,37,"16,803.85",27.34%,"26,633",354,1.33%,"3,791.17",10.71,20,"9,740.07",38.92%,"31,162",480,1.54%,"6,195.69",12.91,31,"12,428.20",49.85%,"127,869",813,0.64%,"8,724.14",10.73,32,"16,492.27",52.90%,"26,016",485,1.86%,"6,120.98",12.62,31,"14,580.78",41.98%,"23,209",428,1.84%,"5,642.11",13.18,37,"19,266.99",29.28%,"23,385",266,1.14%,"3,955.35",14.87,14,"6,785.14",58.29%,"34,230",375,1.10%,"5,102.57",13.61,36,"16,112.89",31.67%,"27,568",279,1.01%,"3,641.37",13.05,26,"11,156.08",32.64%,"27,528",301,1.09%,"3,768.72",12.52,18,"8,925.31",42.23%,"24,630",336,1.36%,"4,431.83",13.19,19,"11,190.69",39.60%,"21,635",266,1.23%,"3,107.37",11.68,16,"7,421.56",41.87%,"24,486",188,0.77%,"2,043.37",10.87,17,"6,878.84",29.71%,"44,225",192,0.43%,"2,677.87",13.95,18,"8,403.92",31.86%,"18,225",151,0.83%,"1,376.06",9.11,14,"9,841.78",13.98%,"17,015",114,0.67%,"1,159.42",10.17,19,"9,669.00",11.99%,"22,435",125,0.56%,"1,311.12",10.49,18,"8,087.54",16.21%,"24,110",156,0.65%,"1,668.08",10.69,18,"9,755.23",17.10%,"17,763",105,0.59%,"1,123.89",10.70,19,"8,551.46",13.14%,"14,314",71,0.50%,944.56,13.30,8,"4,491.73",21.03%,"16,161",113,0.70%,"1,728.26",15.29,13,"6,983.49",24.75%,"15,156",107,0.71%,"1,980.13",18.51,9,"4,519.34",43.81%,23643,96,0.41%,₹654.74,0.15,9,"₹5,520.96",11.86%,21875,99,0.45%,"₹1,050.50",0.09,14,"₹7,504.92",14.00%,13792,66,0.48%,₹749.26,0.09,8,"₹6,426.26",11.66%,16237,65,0.40%,₹868.53,0.07,1,₹766.10,113.37%
B07T2W496G,Finger paint,"45,081",186,0.41%,"3,175.74",17.07,20,"13,801.98",23.01%,"43,136",190,0.44%,"2,984.38",15.71,20,"12,862.29",23.20%,"51,093",180,0.35%,"3,227.19",17.93,21,"11,613.85",27.79%,"49,329",188,0.38%,"3,180.61",16.92,15,"9,461.01",33.62%,"44,938",187,0.42%,"2,967.84",15.87,24,"13,467.15",22.04%,"43,301",214,0.49%,"3,335.49",15.59,23,"13,169.66",25.33%,"30,999",166,0.54%,"2,177.25",13.12,22,"11,667.63",18.66%,"26,080",134,0.51%,"1,828.02",13.64,17,"9,338.58",19.57%,"24,165",130,0.54%,"1,759.22",13.53,12,"6,309.66",27.88%,"32,293",148,0.46%,"1,999.48",13.51,15,"8,899.49",22.47%,"29,182",140,0.48%,"2,063.55",14.74,11,"6,440.24",32.04%,"33,056",199,0.60%,"3,012.10",15.14,24,"11,585.39",26.00%,"34,085",229,0.67%,"3,624.54",15.83,22,"13,250.73",27.35%,"32,013",218,0.68%,"3,904.91",17.91,21,"11,300.35",34.56%,"32,004",218,0.68%,"3,749.44",17.20,16,"7,946.86",47.18%,"31,499",184,0.58%,"3,239.99",17.61,12,"6,599.35",49.10%,"36,869",181,0.49%,"3,088.40",17.06,18,"9,739.19",31.71%,"41,464",247,0.60%,"4,213.98",17.06,18,"8,924.70",47.22%,"35,747",214,0.60%,"3,628.96",16.96,16,"8,637.11",42.02%,"28,426",217,0.76%,"3,397.14",15.66,24,"11,699.34",29.04%,"22,218",108,0.49%,"1,584.51",14.67,7,"3,501.09",45.26%,"14,597",83,0.57%,"1,422.22",17.14,15,"8,735.87",16.28%,"22,091",126,0.57%,"2,165.11",17.18,17,"9,229.02",23.46%,"20,360",131,0.64%,"2,249.22",17.17,11,"5,788.57",38.86%,"22,365",117,0.52%,"1,846.21",15.78,14,"11,519.50",16.03%,"28,731",162,0.56%,"2,659.08",16.41,14,"8,299.95",32.04%,"25,843",158,0.61%,"2,323.18",14.70,10,"6,373.73",36.45%,"32,421",178,0.55%,"3,058.79",17.18,6,"3,815.58",80.17%,"27,871",149,0.53%,"2,597.90",17.44,14,"7,719.76",33.65%,"25,554",155,0.61%,"2,641.84",17.04,17,"9,898.21",26.69%,"22,455",111,0.49%,"1,772.34",15.97,5,"3,345.77",52.97%,"22,635",103,0.46%,"1,298.14",12.60,8,"5,495.36",23.62%,25499,111,0.44%,"₹1,763.21",0.06,11,"₹6,949.67",25.37%,23629,98,0.41%,"₹1,433.57",0.07,12,"₹8,016.64",17.88%,22901,107,0.47%,"₹1,568.70",0.07,6,"₹3,644.76",43.04%,18631,56,0.30%,"₹1,104.83",0.05,7,"₹4,924.32",22.44%
